D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
59.0,56.31640625,56.31640625,145.06640625,141.06689453125,77.06689453125,101.69189453125,145.06640625,310.31640625,56.31640625,154.7333984375,162.2333984375,27.4833984375,112.6337890625,736.267578125,34.1337890625,49.06640625,27.7333984375,152.31689453125,56.31689453125,1109.591064453125
60.0,56.7578125,56.7578125,145.0078125,141.25830078125,77.25830078125,101.63330078125,145.0078125,310.7578125,56.7578125,155.1748046875,162.6748046875,27.6748046875,113.5166015625,738.033203125,34.5166015625,49.2578125,27.9248046875,152.75830078125,56.75830078125,1110.591064453125
61.0,56.7578125,56.7578125,145.0078125,141.25830078125,77.25830078125,101.63330078125,145.0078125,310.7578125,56.7578125,155.1748046875,162.6748046875,27.6748046875,113.5166015625,738.033203125,34.5166015625,49.2578125,27.9248046875,152.75830078125,56.75830078125,1109.710205078125
62.0,57.197265625,57.197265625,145.447265625,141.44775390625,77.44775390625,101.57275390625,145.447265625,312.197265625,57.447265625,155.6142578125,163.1142578125,27.8642578125,114.3955078125,739.791015625,34.8955078125,49.447265625,28.1142578125,153.19775390625,57.19775390625,1110.710205078125
63.0,57.197265625,57.197265625,145.447265625,141.44775390625,77.44775390625,101.57275390625,145.447265625,312.197265625,57.447265625,155.6142578125,163.1142578125,27.8642578125,114.3955078125,739.791015625,34.8955078125,49.447265625,28.1142578125,153.19775390625,57.19775390625,1109.833251953125
64.0,57.634765625,57.634765625,145.384765625,137.63525390625,73.63525390625,97.51025390625,145.384765625,312.634765625,57.884765625,148.0517578125,163.5517578125,28.0517578125,115.2705078125,741.541015625,35.2705078125,49.634765625,28.3017578125,153.63525390625,57.63525390625,1110.833251953125
65.0,57.634765625,57.634765625,145.384765625,137.63525390625,73.63525390625,97.51025390625,145.384765625,312.634765625,57.884765625,148.0517578125,163.5517578125,28.0517578125,115.2705078125,741.541015625,35.2705078125,49.634765625,28.3017578125,153.63525390625,57.63525390625,1109.960205078125
66.0,58.0703125,58.0703125,145.8203125,137.82080078125,73.82080078125,97.44580078125,145.8203125,312.0703125,58.0703125,148.4873046875,163.9873046875,28.2373046875,116.1416015625,743.283203125,35.6416015625,49.8203125,28.4873046875,154.07080078125,58.07080078125,1110.960205078125
67.0,58.0703125,58.0703125,145.8203125,137.82080078125,73.82080078125,97.44580078125,145.8203125,312.0703125,58.0703125,148.4873046875,163.9873046875,28.2373046875,116.1416015625,743.283203125,35.6416015625,49.8203125,28.4873046875,154.07080078125,58.07080078125,1110.091064453125
68.0,58.50390625,58.50390625,145.75390625,138.00439453125,74.00439453125,97.37939453125,145.75390625,312.50390625,58.50390625,148.9208984375,164.4208984375,28.4208984375,117.0087890625,745.017578125,36.0087890625,50.00390625,28.6708984375,154.50439453125,58.50439453125,1111.091064453125
69.0,58.50390625,58.50390625,145.75390625,138.00439453125,74.00439453125,97.37939453125,145.75390625,312.50390625,58.50390625,148.9208984375,164.4208984375,28.4208984375,117.0087890625,745.017578125,36.0087890625,50.00390625,28.6708984375,154.50439453125,58.50439453125,1110.225830078125
70.0,58.935546875,58.935546875,146.185546875,138.18603515625,74.18603515625,97.31103515625,146.185546875,313.935546875,59.185546875,149.3525390625,164.8525390625,28.6025390625,117.8720703125,746.744140625,36.3720703125,50.185546875,28.8525390625,154.93603515625,58.93603515625,1111.225830078125
71.0,58.935546875,58.935546875,146.185546875,138.18603515625,74.18603515625,97.31103515625,146.185546875,313.935546875,59.185546875,149.3525390625,164.8525390625,28.6025390625,117.8720703125,746.744140625,36.3720703125,50.185546875,28.8525390625,154.93603515625,58.93603515625,1110.364501953125
72.0,59.365234375,59.365234375,146.115234375,138.36572265625,74.36572265625,97.24072265625,146.115234375,314.365234375,59.615234375,149.7822265625,165.2822265625,28.7822265625,118.7314453125,748.462890625,36.7314453125,50.365234375,29.0322265625,155.36572265625,59.36572265625,1111.364501953125
73.0,59.365234375,59.365234375,146.115234375,138.36572265625,74.36572265625,97.24072265625,146.115234375,314.365234375,59.615234375,149.7822265625,165.2822265625,28.7822265625,118.7314453125,748.462890625,36.7314453125,50.365234375,29.0322265625,155.36572265625,59.36572265625,1110.507080078125
74.0,59.79296875,59.79296875,146.54296875,138.54345703125,74.54345703125,97.16845703125,146.54296875,313.79296875,59.79296875,150.2099609375,165.7099609375,28.9599609375,119.5869140625,750.173828125,37.0869140625,50.54296875,29.2099609375,155.79345703125,59.79345703125,1111.507080078125
75.0,59.79296875,59.79296875,146.54296875,138.54345703125,74.54345703125,97.16845703125,146.54296875,313.79296875,59.79296875,150.2099609375,165.7099609375,28.9599609375,119.5869140625,750.173828125,37.0869140625,50.54296875,29.2099609375,155.79345703125,59.79345703125,1110.653564453125
76.0,60.21875,60.21875,146.46875,138.71923828125,74.71923828125,97.09423828125,146.46875,314.21875,60.21875,150.6357421875,166.1357421875,29.1357421875,120.4384765625,751.876953125,37.4384765625,50.71875,29.3857421875,156.21923828125,60.21923828125,1111.653564453125
77.0,60.21875,60.21875,146.46875,138.71923828125,74.71923828125,97.09423828125,146.46875,314.21875,60.21875,150.6357421875,166.1357421875,29.1357421875,120.4384765625,751.876953125,37.4384765625,50.71875,29.3857421875,156.21923828125,60.21923828125,1110.803955078125
78.0,60.642578125,60.642578125,146.892578125,138.89306640625,74.89306640625,97.01806640625,146.892578125,315.642578125,60.892578125,151.0595703125,166.5595703125,29.3095703125,121.2861328125,753.572265625,37.7861328125,50.892578125,29.5595703125,156.64306640625,60.64306640625,1111.803955078125
79.0,60.642578125,60.642578125,146.892578125,138.89306640625,74.89306640625,97.01806640625,146.892578125,315.642578125,60.892578125,151.0595703125,166.5595703125,29.3095703125,121.2861328125,753.572265625,37.7861328125,50.892578125,29.5595703125,156.64306640625,60.64306640625,1110.958251953125
80.0,61.064453125,61.064453125,146.814453125,139.06494140625,75.06494140625,96.93994140625,146.814453125,316.064453125,61.314453125,151.4814453125,166.9814453125,29.4814453125,122.1298828125,755.259765625,38.1298828125,51.064453125,29.7314453125,157.06494140625,61.06494140625,1111.958251953125
81.0,61.064453125,61.064453125,146.814453125,139.06494140625,75.06494140625,96.93994140625,146.814453125,316.064453125,61.314453125,151.4814453125,166.9814453125,29.4814453125,122.1298828125,755.259765625,38.1298828125,51.064453125,29.7314453125,157.06494140625,61.06494140625,1111.116455078125
82.0,61.484375,61.484375,147.234375,139.23486328125,75.23486328125,96.85986328125,147.234375,315.484375,61.484375,151.9013671875,167.4013671875,29.6513671875,122.9697265625,756.939453125,38.4697265625,51.234375,29.9013671875,157.48486328125,61.48486328125,1112.116455078125
83.0,61.484375,61.484375,147.234375,139.23486328125,75.23486328125,96.85986328125,147.234375,315.484375,61.484375,151.9013671875,167.4013671875,29.6513671875,122.9697265625,756.939453125,38.4697265625,51.234375,29.9013671875,157.48486328125,61.48486328125,1111.278564453125
84.0,61.90234375,61.90234375,147.15234375,139.40283203125,75.40283203125,96.77783203125,147.15234375,315.90234375,61.90234375,152.3193359375,167.8193359375,29.8193359375,123.8056640625,758.611328125,38.8056640625,51.40234375,30.0693359375,157.90283203125,61.90283203125,1112.278564453125
85.0,61.90234375,61.90234375,147.15234375,139.40283203125,75.40283203125,96.77783203125,147.15234375,315.90234375,61.90234375,152.3193359375,167.8193359375,29.8193359375,123.8056640625,758.611328125,38.8056640625,51.40234375,30.0693359375,157.90283203125,61.90283203125,1111.444580078125
86.0,62.318359375,62.318359375,147.568359375,139.56884765625,75.56884765625,96.69384765625,147.568359375,317.318359375,62.568359375,152.7353515625,168.2353515625,29.9853515625,124.6376953125,760.275390625,39.1376953125,51.568359375,30.2353515625,158.31884765625,62.31884765625,1112.444580078125
87.0,62.318359375,62.318359375,147.568359375,139.56884765625,75.56884765625,96.69384765625,147.568359375,317.318359375,62.568359375,152.7353515625,168.2353515625,29.9853515625,124.6376953125,760.275390625,39.1376953125,51.568359375,30.2353515625,158.31884765625,62.31884765625,1111.614501953125
88.0,62.732421875,62.732421875,147.482421875,139.73291015625,75.73291015625,96.60791015625,147.482421875,317.732421875,62.982421875,153.1494140625,168.6494140625,30.1494140625,125.4658203125,761.931640625,39.4658203125,51.732421875,30.3994140625,158.73291015625,62.73291015625,1112.614501953125
