D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
84.0,61.90234375,61.90234375,19.15234375,11.40283203125,75.40283203125,43.40283203125,19.15234375,188.40234375,61.65234375,24.8193359375,40.3193359375,30.0693359375,123.8056640625,331.611328125,38.8056640625,-2.09765625,30.0693359375,72.65283203125,61.90283203125,933.8056640625
85.0,61.90234375,61.90234375,19.15234375,11.40283203125,75.40283203125,43.40283203125,19.15234375,188.40234375,61.65234375,24.8193359375,40.3193359375,30.0693359375,123.8056640625,331.611328125,38.8056640625,-2.09765625,30.0693359375,72.65283203125,61.90283203125,933.8056640625
86.0,62.318359375,62.318359375,19.568359375,11.56884765625,75.56884765625,43.56884765625,19.568359375,188.818359375,62.318359375,25.2353515625,40.7353515625,30.2353515625,124.6376953125,335.275390625,39.1376953125,-1.681640625,30.2353515625,72.56884765625,62.31884765625,935.6376953125
87.0,62.318359375,62.318359375,19.568359375,11.56884765625,75.56884765625,43.56884765625,19.568359375,188.818359375,62.318359375,25.2353515625,40.7353515625,30.2353515625,124.6376953125,335.275390625,39.1376953125,-1.681640625,30.2353515625,72.56884765625,62.31884765625,935.6376953125
88.0,62.732421875,62.732421875,19.482421875,11.73291015625,75.73291015625,43.73291015625,19.482421875,189.232421875,62.732421875,25.6494140625,41.1494140625,30.3994140625,125.4658203125,338.931640625,39.4658203125,-1.267578125,30.3994140625,72.48291015625,62.73291015625,937.4658203125
89.0,62.732421875,62.732421875,19.482421875,11.73291015625,75.73291015625,43.73291015625,19.482421875,189.232421875,62.732421875,25.6494140625,41.1494140625,30.3994140625,125.4658203125,338.931640625,39.4658203125,-1.267578125,30.3994140625,72.48291015625,62.73291015625,937.4658203125
90.0,63.14453125,63.14453125,19.89453125,11.89501953125,75.89501953125,43.89501953125,19.89453125,189.64453125,62.89453125,26.0615234375,41.5615234375,30.5615234375,126.2900390625,342.580078125,39.7900390625,-0.85546875,30.5615234375,72.39501953125,63.14501953125,939.2900390625
91.0,63.14453125,63.14453125,19.89453125,11.89501953125,75.89501953125,43.89501953125,19.89453125,189.64453125,62.89453125,26.0615234375,41.5615234375,30.5615234375,126.2900390625,342.580078125,39.7900390625,-0.85546875,30.5615234375,72.39501953125,63.14501953125,939.2900390625
92.0,63.5546875,63.5546875,19.8046875,12.05517578125,76.05517578125,44.05517578125,19.8046875,190.0546875,63.3046875,26.4716796875,41.9716796875,30.7216796875,127.1103515625,346.220703125,40.1103515625,-0.4453125,30.7216796875,72.30517578125,63.55517578125,941.1103515625
93.0,63.5546875,63.5546875,19.8046875,12.05517578125,76.05517578125,44.05517578125,19.8046875,190.0546875,63.3046875,26.4716796875,41.9716796875,30.7216796875,127.1103515625,346.220703125,40.1103515625,-0.4453125,30.7216796875,72.30517578125,63.55517578125,941.1103515625
94.0,63.962890625,63.962890625,20.212890625,12.21337890625,76.21337890625,44.21337890625,20.212890625,190.462890625,63.962890625,26.8798828125,42.3798828125,30.8798828125,127.9267578125,349.853515625,40.4267578125,-0.037109375,30.8798828125,72.21337890625,63.96337890625,942.9267578125
95.0,63.962890625,63.962890625,20.212890625,12.21337890625,76.21337890625,44.21337890625,20.212890625,190.462890625,63.962890625,26.8798828125,42.3798828125,30.8798828125,127.9267578125,349.853515625,40.4267578125,-0.037109375,30.8798828125,72.21337890625,63.96337890625,942.9267578125
96.0,64.369140625,64.369140625,20.119140625,12.36962890625,76.36962890625,44.36962890625,20.119140625,190.869140625,64.369140625,27.2861328125,42.7861328125,31.0361328125,128.7392578125,353.478515625,40.7392578125,0.369140625,31.0361328125,72.11962890625,64.36962890625,944.7392578125
97.0,64.369140625,64.369140625,20.119140625,12.36962890625,76.36962890625,44.36962890625,20.119140625,190.869140625,64.369140625,27.2861328125,42.7861328125,31.0361328125,128.7392578125,353.478515625,40.7392578125,0.369140625,31.0361328125,72.11962890625,64.36962890625,944.7392578125
98.0,64.7734375,64.7734375,20.5234375,12.52392578125,76.52392578125,44.52392578125,20.5234375,191.2734375,64.5234375,27.6904296875,43.1904296875,31.1904296875,129.5478515625,357.095703125,41.0478515625,0.7734375,31.1904296875,72.02392578125,64.77392578125,946.5478515625
